Filename,Original,Translate
trad_divina_commedia_inferno_2_2.csv,ch'è principio a la via di salvazione.,con cui inizia la via della nostra salvezza.
trad_divina_commedia_inferno_2_2.csv,"Ma io, perché venirvi? o chi 'l concede?",Ma perche' dovrei andarci?
trad_divina_commedia_inferno_2_2.csv,"Io non Enëa, io non Paulo sono;","Perché io non sono Enea, non sono Paolo;"
trad_divina_commedia_inferno_2_2.csv,me degno a ciò né io né altri 'l crede.,né io né gli altri mi considero così degno.
trad_divina_commedia_inferno_2_2.csv,"Per che, se del venire io m'abbandono,","Quindi, se acconsento a iniziare questo viaggio,"
trad_divina_commedia_inferno_2_2.csv,temo che la venuta non sia folle.,Temo che la mia avventura possa essere selvaggia e vuota.
trad_divina_commedia_inferno_2_2.csv,Se' savio; intendi me' ch'i' non ragiono”.,"Sei saggio; sai molto più di quello che dico io."""
trad_divina_commedia_inferno_2_2.csv,E qual è quei che disvuol ciò che volle,E come colui che non vuole ciò che vuole
trad_divina_commedia_inferno_2_2.csv,"e per novi pensier cangia proposta,",e cambia ciò che intende cercare nuovi fini
trad_divina_commedia_inferno_2_2.csv,"sì che dal cominciar tutto si tolle,","in modo che sia tratto da ciò che aveva iniziato,"
trad_divina_commedia_inferno_2_2.csv,"tal mi fec'ïo 'n quella oscura costa,","così ero io in mezzo a quella terra oscura,"
trad_divina_commedia_inferno_2_2.csv,"perché, pensando, consumai la 'mpresa","perché, con tutto il mio pensiero, ho annullato"
trad_divina_commedia_inferno_2_2.csv,che fu nel cominciar cotanto tosta.,il compito che avevo intrapreso così in fretta.
trad_divina_commedia_inferno_2_2.csv,"“S'i' ho ben la parola tua intesa”,","""Se ho capito quello che hai detto,"""
trad_divina_commedia_inferno_2_2.csv,"rispuose del magnanimo quell'ombra,","rispose l'ombra di quello di gran cuore,"
trad_divina_commedia_inferno_2_2.csv,“l'anima tua è da viltade offesa;,"""La tua anima è stata assalita dalla codardia,"
trad_divina_commedia_inferno_2_2.csv,la qual molte fïate l'omo ingombra,che spesso pesa tanto su un uomo...
trad_divina_commedia_inferno_2_2.csv,"sì che d'onrata impresa lo rivolve,",Distrarlo da processi d'onore...
trad_divina_commedia_inferno_2_2.csv,come falso veder bestia quand'ombra.,come fantasmi spaventano le bestie quando le ombre cadono.
trad_divina_commedia_inferno_2_2.csv,"Da questa tema acciò che tu ti solve,","affinché tu sia liberato da questo timore,"
trad_divina_commedia_inferno_2_2.csv,dirotti perch'io venni e quel ch'io 'ntesi,Ti diro' perche' sono venuto e per quello che ho sentito.
trad_divina_commedia_inferno_2_2.csv,nel primo punto che di te mi dolve.,quando ho provato compassione per il tuo dolore.
trad_divina_commedia_inferno_2_2.csv,"Io era tra color che son sospesi,",Ero tra quelle anime che sono sospese;
trad_divina_commedia_inferno_2_2.csv,"e donna mi chiamò beata e bella,","una donna mi ha chiamato, così benedetta, così bella"
trad_divina_commedia_inferno_2_2.csv,tal che di comandare io la richiesi.,che ho implorato di servire al suo comando.
trad_divina_commedia_inferno_2_2.csv,Lucevan li occhi suoi più che la stella;,I suoi occhi superavano lo splendore della stella;
trad_divina_commedia_inferno_2_2.csv,"e cominciommi a dir soave e piana,",e ha cominciato a parlare con me-così gentilmente
trad_divina_commedia_inferno_2_2.csv,"con angelica voce, in sua favella:",e dolcemente con voce angelica. Disse:
trad_divina_commedia_inferno_2_2.csv,"""O anima cortese mantoana,","""O spirito del cortese Mantova,"
trad_divina_commedia_inferno_2_2.csv,"di cui la fama ancor nel mondo dura,",la cui fama è ancora una presenza nel mondo
trad_divina_commedia_inferno_2_2.csv,"e durerà quanto 'l mondo lontana,","e durera' finche' durera' il mondo,"
trad_divina_commedia_inferno_2_2.csv,"l'amico mio, e non de la ventura,","amico mio, che non è stato amico della fortuna,"
trad_divina_commedia_inferno_2_2.csv,ne la diserta piaggia è impedito,è ostacolato nel suo cammino lungo che solitario
trad_divina_commedia_inferno_2_2.csv,"sì nel cammin, che vòlt'è per paura;",Hillside; è stato allontanato dal terrore.
trad_divina_commedia_inferno_2_2.csv,"e temo che non sia già sì smarrito,","Da tutto quello che ho sentito di lui in Cielo,"
trad_divina_commedia_inferno_2_2.csv,"ch'io mi sia tardi al soccorso levata,","è, temo, già così smarrito"
trad_divina_commedia_inferno_2_2.csv,per quel ch'i' ho di lui nel cielo udito.,che sono venuto ad aiutarlo troppo tardi.
trad_divina_commedia_inferno_2_2.csv,"Or movi, e con la tua parola ornata","Vai ora; con la tua parola persuasiva, con tutti"
trad_divina_commedia_inferno_2_2.csv,"e con ciò c'ha mestieri al suo campare,","che è necessario per vedere che scappa,"
trad_divina_commedia_inferno_2_2.csv,l'aiuta sì ch'i' ne sia consolata.,"portagli aiuto, perché io possa essere consolato."
trad_divina_commedia_inferno_2_2.csv,I' son Beatrice che ti faccio andare;,perché io sono Beatrice che ti mando;
trad_divina_commedia_inferno_2_2.csv,vegno del loco ove tornar disio;,Vengo da dove desidero tornare.
trad_divina_commedia_inferno_2_2.csv,"amor mi mosse, che mi fa parlare.","L'amore mi ha spinto, quell'amore che mi fa parlare."
trad_divina_commedia_inferno_2_2.csv,"Quando sarò dinanzi al segnor mio,","Quando ancora una volta mi trovo davanti al mio Signore,"
trad_divina_commedia_inferno_2_2.csv,"di te mi loderò sovente a lui"".","e gli lascerò spesso ascoltare le tue lodi."""
trad_divina_commedia_inferno_2_2.csv,"Tacette allora, e poi comincia' io:","Beatrice taceva, io cominciai:"
trad_divina_commedia_inferno_2_2.csv,"""O donna di virtù sola per cui","'O Signora della virtù, l'unico motivo per cui"
trad_divina_commedia_inferno_2_2.csv,l'umana spezie eccede ogne contento,la razza umana supera tutto ciò che mente
trad_divina_commedia_inferno_2_2.csv,"di quel ciel c'ha minor li cerchi sui,","sotto il cielo con le sfere più piccole,"
trad_divina_commedia_inferno_2_2.csv,"tanto m'aggrada il tuo comandamento,","così benvenuto è il vostro desiderio, che anche se"
trad_divina_commedia_inferno_2_2.csv,"che l'ubidir, se già fosse, m'è tardi;","era già fatto, sembrerebbe tardivo;"
trad_divina_commedia_inferno_2_2.csv,più non t'è uo' ch'aprirmi il tuo talento.,Tutto quello che devi fare e' farmi sapere la tua volonta'.
trad_divina_commedia_inferno_2_2.csv,Ma dimmi la cagion che non ti guardi,Ma dimmi perche' non sei stato piu' prudente...
trad_divina_commedia_inferno_2_2.csv,de lo scender qua giuso in questo centro,"scendendo a questo centro, muovendosi da"
trad_divina_commedia_inferno_2_2.csv,"de l'ampio loco ove tornar tu ardi"".","quel luogo spazioso dove desiderate ritornare?."""
trad_divina_commedia_inferno_2_2.csv,"""Da che tu vuo' saver cotanto a dentro,",Perche' vuoi capire le cose cosi' profondamente...
trad_divina_commedia_inferno_2_2.csv,"dirotti brievemente"", mi rispuose,","Ve lo dirò subito - rispose,"
trad_divina_commedia_inferno_2_2.csv,"""perch'i' non temo di venir qua entro.",perché non ho paura di entrare qui.
trad_divina_commedia_inferno_2_2.csv,Temer si dee di sole quelle cose,Uno dovrebbe avere paura di nient'altro.
trad_divina_commedia_inferno_2_2.csv,c'hanno potenza di fare altrui male;,"che cose possedete di potere per farci del male,"
trad_divina_commedia_inferno_2_2.csv,"de l'altre no, ché non son paurose.",ma le cose innocue non devono essere temute.
trad_divina_commedia_inferno_2_2.csv,"I' son fatta da Dio, sua mercé, tale,","Dio, nella Sua grazia, mi ha reso così"
trad_divina_commedia_inferno_2_2.csv,"che la vostra miseria non mi tange,","che questa, la tua miseria, non può toccarmi;"
trad_divina_commedia_inferno_2_2.csv,né fiamma d'esto 'ncendio non m'assale.,Posso resistere agli incendi che bruciano qui.
trad_divina_commedia_inferno_2_2.csv,Donna è gentil nel ciel che si compiange,In Paradiso c'è una gentile signora-uno
trad_divina_commedia_inferno_2_2.csv,"di questo 'mpedimento ov' io ti mando,","che piange per l'angoscia verso la quale ti mando,"
trad_divina_commedia_inferno_2_2.csv,sì che duro giudicio là sù frange.,in modo che il giudizio severo sopra è fracassato.
trad_divina_commedia_inferno_2_2.csv,Questa chiese Lucia in suo dimando,"Ed e' stata lei a chiamare Lucia,"
